year,month,eur_try
2015,1,2.7366
2015,2,2.8129
2015,3,2.8103499999999997
2015,4,2.9279
2015,5,2.9339500000000003
2015,6,3.0126
2015,7,3.0095
2015,8,3.22785
2015,9,3.3869
2015,10,3.25075
2015,11,3.0819
2015,12,3.1782500000000002
2016,1,3.25385
2016,2,3.2455499999999997
2016,3,3.2095000000000002
2016,4,3.20345
2016,5,3.30785
2016,6,3.2398499999999997
2016,7,3.3154500000000002
2016,8,3.30685
2016,9,3.343
2016,10,3.39385
2016,11,3.5936
2016,12,3.6994499999999997
2017,1,4.02505
2017,2,3.8701
2017,3,3.9061000000000003
2017,4,3.8952999999999998
2017,5,3.95735
2017,6,3.9844
2017,7,4.11675
2017,8,4.12495
2017,9,4.169449999999999
2017,10,4.3699
2017,11,4.6175999999999995
2017,12,4.54875
2018,1,4.63795
2018,2,4.6579999999999995
2018,3,4.84845
2018,4,4.94495
2018,5,5.25645
2018,6,5.3729
2018,7,5.65335
2018,8,7.2437000000000005
2018,9,7.1745
2018,10,6.4587
2018,11,5.98245
2018,12,6.0609
2019,1,6.0527
2019,2,6.02835
2019,3,6.27145
2019,4,6.58095
2019,5,6.6482
2019,6,6.5637
2019,7,6.2569
2019,8,6.36435
2019,9,6.2128
2019,10,6.3870000000000005
2019,11,6.3309
2019,12,6.59325
2020,1,6.5962499999999995
2020,2,6.72715
2020,3,7.11165
2020,4,7.5298
2020,5,7.5814
2020,6,7.6784
2020,7,8.0719
2020,8,8.695699999999999
2020,9,9.0037
2020,10,9.58205
2020,11,9.383849999999999
2020,12,9.247399999999999
2021,1,8.94155
2021,2,8.79765
2021,3,9.42755
2021,4,9.88565
2021,5,10.279
2021,6,10.35165
2021,7,10.0786
2021,8,9.9049
2021,9,10.1836
2021,10,10.9101
2021,11,13.58515
2021,12,15.318999999999999
2022,1,15.141749999999998
2022,2,15.47165
2022,3,16.2028
2022,4,15.7848
2022,5,17.06145
2022,6,17.640900000000002
2022,7,18.0184
2022,8,18.2275
2022,9,18.115299999999998
2022,10,18.36085
2022,11,19.1605
2022,12,19.8631
2023,1,20.304949999999998
2023,2,20.126849999999997
2023,3,20.60615
2023,4,21.293750000000003
2023,5,21.8119
2023,6,27.0445
2023,7,29.5169
2023,8,29.1818
2023,9,28.95785
2023,10,29.74805
2023,11,31.26135
2023,12,32.1887
2024,1,32.85745
2024,2,33.53555
2024,3,34.8858
2024,4,34.69855
2024,5,34.9148
2024,6,35.12675
2024,7,35.8027
2024,8,37.43745
2024,9,38.046549999999996
2024,10,37.307649999999995
2024,11,36.63135
2024,12,36.698
2025,1,37.0373
2025,2,37.85565
2025,3,40.6041
2025,4,43.265699999999995
2025,5,44.1431
2025,6,46.00145
2025,7,46.72395
2025,8,47.72595
2025,9,48.65705
2025,10,48.631550000000004
2025,11,49.020849999999996
2025,12,50.22665
